case_type,case_name,channel_mode,road_variant,primitive_noise,method,method_label,num_seeds,slots_per_seed,mean_penalty,mean_backlog,mean_virtual_backlog,mean_aoi_excess,mean_uncertainty_excess,mean_travel,mean_runtime_ms,solver_success_rate,mean_inner_iterations,mean_candidate_family_size
channel,log_distance,log_distance,gaussian,0.0,proposed_full,DCEE,5,100,2.140176374245775,239.35568996287984,576.0900874456679,10.788666666666668,1.82793300387863,9.55580382153473,112.39466240002366,1.0,36.112,9.996
channel,log_distance,log_distance,gaussian,0.0,full_candidate_exact,FC-Common,5,100,2.143594325904151,239.63179745790606,582.1973560931887,10.910666666666668,1.8202351692978513,9.781369743214604,115.77346260008926,1.0,40.622,17.02
channel,log_distance,log_distance,gaussian,0.0,anchored_mobility,Anchored-Mobility,5,100,2.120625530995496,227.91673221356217,576.7127335315728,10.790666666666668,1.834894022355119,9.64504731532128,23.865472400022554,1.0,7.38,17.012
channel,log_distance,log_distance,gaussian,0.0,static_uav,Static-Hovering,5,100,1.8946554152638195,273.22856202654015,678.1525442574139,12.549333333333331,3.0437053971742007,0.0,11.447037599995383,1.0,4.294,1.0
channel,log_distance,log_distance,gaussian,0.0,freshness_priority,Freshness-Priority,5,100,2.0201236237867644,342.11893073015614,570.3719523485694,10.668666666666669,1.8472183235450672,9.37484994287363,54.77931440006796,1.0,27.484,17.004
channel,los_nlos,los_nlos,gaussian,0.0,proposed_full,DCEE,5,100,2.064894214410684,260.46091020960347,609.4170919443876,11.194666666666668,2.2299081256206246,7.336242244839455,92.31776379996154,1.0,32.998,9.986
channel,los_nlos,los_nlos,gaussian,0.0,full_candidate_exact,FC-Common,5,100,2.077188062732501,235.91593320972825,608.3304445217364,11.144666666666668,2.1474546170674396,8.915900759161499,124.68162339997798,1.0,40.944,16.994
channel,los_nlos,los_nlos,gaussian,0.0,anchored_mobility,Anchored-Mobility,5,100,2.0601528279678516,238.91971485663746,603.6980109997698,11.206666666666667,2.2102095719924018,8.419139885585421,23.53388260010979,1.0,7.094,17.024
channel,los_nlos,los_nlos,gaussian,0.0,static_uav,Static-Hovering,5,100,1.800517614902228,277.3173890547911,693.5893076706857,12.799333333333331,3.2038260911393954,0.0,11.801237799991213,1.0,4.29,1.0
channel,los_nlos,los_nlos,gaussian,0.0,freshness_priority,Freshness-Priority,5,100,1.8593908818203873,342.11893073015614,621.919499112162,11.486,2.3925466017971515,6.201181194635214,52.43509180007095,1.0,22.976,16.956
channel,shadowed,shadowed,gaussian,0.0,proposed_full,DCEE,5,100,2.1216333286372837,258.66737982528485,589.0509497813999,11.106666666666667,1.9555037514015807,9.19248870657678,127.52274999990914,1.0,38.236,9.968
channel,shadowed,shadowed,gaussian,0.0,full_candidate_exact,FC-Common,5,100,2.13678593462911,234.58431811072603,577.4764013958408,10.866666666666667,1.8402988277173935,9.962212573733659,140.61519399993267,1.0,42.74,16.96
channel,shadowed,shadowed,gaussian,0.0,anchored_mobility,Anchored-Mobility,5,100,2.126088963702706,261.05928609474813,577.2337051043818,10.866666666666667,1.8297961011809039,9.795071690399789,24.05433199991967,1.0,7.226,16.954
channel,shadowed,shadowed,gaussian,0.0,static_uav,Static-Hovering,5,100,1.8975701930192832,284.268529074872,684.2572755219843,12.632666666666665,3.015535885365664,0.0,10.651308599946788,1.0,3.854,1.0
channel,shadowed,shadowed,gaussian,0.0,freshness_priority,Freshness-Priority,5,100,2.0294499348391373,342.1189307037723,583.271589644432,10.986666666666668,1.8861988034692234,9.65395995166641,57.5932640000392,1.0,27.464,16.962
