profile,method,finite_gap_mean,finite_gap_std,p95_gap_mean,signed_residual_mean,signed_residual_std,solver_success_rate_mean,rescue_rate_mean,mean_nit,union_size_mean,num_seeds
balanced,FC-Union,0.0,0.0,0.0,0.0,0.0,1.0,0.15937519433659236,20.09091406390618,27.60977777777778,10
balanced,proposed_full,32.08002671609069,15.244539245805978,96.95831908501098,-32.08002671609069,15.244539245805978,1.0,0.14355400770615914,14.223708405589633,27.423000000000002,10
balanced,regularized_execution,98.48170470644712,36.36700496094437,416.61292505124567,-98.48170470644712,36.36700496094437,1.0,0.15709580025921105,15.848969586194386,27.448499999999996,10
balanced,anchored_mobility,56.852550343614155,40.36289774053286,268.4126999661113,-56.852550343614155,40.36289774053286,1.0,0.13526667520635285,13.7407994127097,27.397499999999997,10
balanced,static_uav,106.0752455032873,105.77990208237453,338.4116783529732,-106.0752455032873,105.77990208237453,1.0,0.005638227513227513,4.0140932539682534,27.939999999999998,10
balanced,full_candidate_exact,46.58634645780095,21.164631927252568,130.80918067929287,-46.58634645780095,21.164631927252568,1.0,0.13761304385963308,13.85368065348278,27.4075,10
balanced,yang_go_lyapunov,565.7624546859537,135.5731996656248,2350.5825711543866,-565.7624546859537,135.5731996656248,1.0,0.1274569421638387,14.593089696223316,27.773000000000003,10
balanced,sun_receding_ao,409.99766474609635,132.57365493053172,1673.6237539152776,-409.99766474609635,132.57365493053172,1.0,0.14624557036194968,14.316323931974797,27.6455,10
balanced,freshness_priority,78.96164479802412,22.178546143358798,354.8123858983597,-78.96164479802412,22.178546143358798,1.0,0.5728695771970547,85.46984999480114,27.5005,10
balanced,myopic_reoptimization,298.5024377834436,438.970198788707,1675.958160119124,-298.5024377834436,438.970198788707,1.0,0.00863690476190476,4.757711640211641,27.952499999999997,10
