method,method_label,num_seeds,slots_per_seed,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std
proposed_full,DCEE,10,200,2.2024933892690575,0.031391486127796984,249.5506244139066,53.78410132200253,11.557,0.7183768569782677,1.588775008953413,0.3542187431288443,1128.669,46.55822930667403,136.53936752196438,43.54584826823805,8.741363565393396,1.2435319358608583,1.0,0.0,47.11399999999999,3.0440495688765945,140.92865800004074,14.707323941117652,9.963,0.038020462326956696
full_candidate_exact,FC-Common,10,200,2.210849321556578,0.027611285765213975,238.35648022671324,50.60146755771069,11.483,0.7569235165302651,1.5737086171753343,0.3773590721542945,1123.6763333333333,52.231974691021044,135.80327824632118,44.63561772929156,9.187927175655842,1.2399200290399104,1.0,0.0,52.87199999999999,4.235054899289972,156.1619999499726,19.298921117035007,16.9905,0.039542522821781646
anchored_mobility,Anchored-Mobility,10,200,2.2001816658394833,0.029085242690996504,283.62088890772077,67.16625179733123,11.461333333333332,0.807959172663667,1.5559270860413954,0.3834964652655828,1124.5755,55.88945551982474,133.95717631112774,44.641562977441886,8.785834033500882,1.3177040995013112,1.0,0.0,7.945,1.1284896494380838,24.464815449990056,4.015908938969768,16.987500000000004,0.042963162515500426
regularized_execution,Regularized-Execution,10,200,2.332313887810706,0.026446311983598834,314.26789385783746,83.20961269397775,11.422833333333333,0.7590572653619521,1.4998255582472364,0.4426025484576617,1100.9711666666667,52.55993707393546,124.73611939414982,50.87740991560306,14.751432756982746,0.1118185215171183,1.0,0.0,23.5935,2.5326436012813005,68.27485775001514,6.913615171746925,1.0,0.0
static_uav,Static-Hovering,10,200,1.9693017448637362,0.01806349261718277,543.7585012017165,18.192624065297814,13.821333333333333,0.38504272650521326,3.8652323309593086,0.32022142427084876,1300.3816666666667,49.34111568371334,320.91875553457214,38.21434989027397,0.0,0.0,1.0,0.0,3.431,0.39015523975862637,8.23479510002835,1.2452841088920106,1.0,0.0
freshness_priority,Freshness-Priority,10,200,2.1545421336938113,0.027560654741605944,656.1878856072773,15.937403261914522,11.403,0.8675016632851306,1.5248133798159536,0.39302563396028284,1119.7031666666667,61.03486910931615,135.07073283900985,43.54406083866252,8.640609261397163,1.2310583920351648,1.0,0.0,39.048,3.8544326574881436,52.17825505001019,2.472298215243672,16.9975,0.032935121408949455
yang_go_lyapunov,GC-Lyapunov,10,200,2.3139837023904883,0.023972125201161838,294.7113037126619,77.48152594404051,12.670833333333333,0.515961436256339,2.2134713042710445,0.32295110449548625,1196.9851666666666,59.57259232609079,186.620267906241,44.1610384312014,11.510001030696447,0.8894296264439335,1.0,0.0,5.039,0.6107909262223494,14.929906650017074,2.2343122723318434,1.0,0.0
sun_receding_ao,RHC-Alt.,10,200,2.132990062371394,0.02342910013127062,255.33484399171857,56.91782758836789,11.790833333333333,0.9829814970063225,1.6032882271214235,0.4593929681176243,1139.6576666666665,64.43970901758945,142.06021523204114,48.73357341153087,5.538587205271575,1.3087255226762022,1.0,0.0,12.209,1.6518841094674621,38.913623950007604,6.486952777003307,1.0,0.0
myopic_reoptimization,Myopic Re-optimization,10,200,0.4774868938996503,0.01436733233799496,540.2607035819185,13.043403174281021,14.24,0.04281744192888377,4.3806077616236925,0.09994718708707011,1359.6950000000002,8.15510916883122,378.24934206269955,15.319973456892164,0.0,0.0,1.0,0.0,32.652,1.44156203859255,64.73255399999834,3.9734883873472353,17.0,0.0
